id	text	watermark
1	Throwing grapes at a man until he loses touch with reality.	US
2	My Uber driver, Pavel.	US
3	The Hamburglar.	US
4	A stray pube.	US
5	White privilege.	US
6	Facebook.	US
7	Pac-Man uncontrollably guzzling cum.	US
8	Forced sterilization.	US
9	An Oedipus complex.	US
10	Scientology.	US
11	My fat daughter.	US
12	Active listening.	US
13	Vigorous jazz hands.	US
14	An M. Night Shyamalan plot twist.	US
15	The rhythms of Africa.	US
16	The homosexual agenda.	US
17	Having big dreams but no realistic way to achieve them.	US
18	A time travel paradox.	US
19	Lactation.	US
20	Dick fingers.	US
21	Dying.	US
22	My good bra.	US
23	Me time.	US
24	Smallpox blankets.	US
25	J.D. Power and his associates.	US
26	Seeing my father cry.	US
27	Seppuku.	US
28	Adderall.&reg;	US
29	Hot people.	US
30	Dead babies.	US
31	Not reciprocating oral sex.	US
32	50 mg of Zoloft daily.	US
33	A bleached asshole.	US
34	Flesh-eating bacteria.	US
35	Itchy pussy.	US
36	Foreskin.	US
37	Worshipping that pussy.	US
38	How far I can get my own penis up my butt.	US
39	World peace.	US
40	Expecting a burp and vomiting on the floor.	US
41	Kamikaze pilots.	US
42	Anal beads.	US
43	Being rich.	US
44	The Three-Fifths Compromise.	US
45	Shapeshifters.	US
46	Lockjaw.	US
47	Getting so angry that you pop a boner.	US
48	Child beauty pageants.	US
49	Breaking out into song and dance.	US
50	Pretending to care.	US
51	Waiting till marriage.	US
52	The wifi password.	US
53	Being a woman.	US
54	The past.	US
55	Catapults.	US
56	A lifetime of sadness.	US
57	Going an entire day without masturbating.	US
58	Dwayne \"The Rock\" Johnson.	US
59	A saxophone solo.	US
60	Being marginalized.	US
61	The penny whistle solo from \"My Heart Will Go On.\"	US
62	A fart so powerful that it wakes the giants from their thousand-year slumber.	US
63	My genitals.	US
64	Little boy penises.	US
65	Punching a congressman in the face.	US
66	Some god damn peace and quiet.	US
67	BATMAN!	US
68	Ruth Bader Ginsburg brutally gaveling your penis.	US
69	Preteens.	US
70	More elephant cock than I bargained for.	US
71	Smegma.	US
72	A micropenis.	US
73	My ugly face and bad personality.	US
74	A good sniff.	US
75	Explaining how vaginas work.	US
76	Genuine human connection.	US
77	An old guy who's almost dead.	US
78	My cheating son-of-a-bitch husband.	US
79	Fox News.	US
80	Being a motherfucking sorcerer.	US
81	The Red Hot Chili Peppers.	US
82	Holding down a child and farting all over him.	US
83	The KKK.	US
84	Land mines.	US
85	Centaurs.	US
86	Seven dead and three in critical condition.	US
87	My relationship status.	US
88	A mating display.	US
89	Auschwitz.	US
90	Used panties.	US
91	Alcoholism.	US
92	Sexual peeing.	US
93	A windmill full of corpses.	US
94	Darth Vader.	US
95	Daniel Radcliffe's delicious asshole.	US
96	A good, strong gorilla.	US
97	Huffing spray paint.	US
98	Half-assed foreplay.	US
99	Nipple blades.	US
100	Being able to talk to elephants.	US
101	Making a pouty face.	US
102	Drowning the kids in the bathtub.	US
103	Emerging from the sea and rampaging through Tokyo.	US
104	Hospice care.	US
105	Magnets.	US
106	Touching a pug right on his penis.	US
107	Vladimir Putin.	US
108	Spontaneous human combustion.	US
109	Leprosy.	US
110	Seething with quiet resentment.	US
111	Explosions.	US
112	Licking things to claim them as your own.	US
113	Consensual sex.	US
114	Getting married, having a few kids, buying some stuff, retiring to Florida, and dying.	US
115	Nickelback.	US
116	The Boy Scouts of America.	US
117	Bananas.	US
118	Masturbating.	US
119	All the dues I've fucked.	US
120	Famine.	US
121	Hillary Clinton's emails.	US
122	Executing a hostage every hour.	US
123	Running out of semen.	US
124	Jews, gypsies, and homosexuals.	US
125	The arrival of the pizza.	US
126	Goblins.	US
127	Laying an egg.	US
128	A bowl of mayonnaise and human teeth.	US
129	A micropig wearing a tiny raincoat and booties.	US
130	A bitch slap.	US
131	Giving 110%.	US
132	Inserting a Mason jar into my anus.	US
133	A man on the brink of orgasm.	US
134	A much younger woman.	US
135	10,000 Syrian refugees.	US
136	A sad handjob.	US
137	Police brutality.	US
138	Throwing a virgin into a volcano.	US
139	A sea of troubles.	US
140	Multiple stab wounds.	US
141	Filling my briefcase with business stuff.	US
142	A tiny horse.	US
143	The Kool-Aid Man.	US
144	Grandma.	US
145	A bag of magic beans.	US
146	Doing the right thing.	US
147	Emma Watson.	US
148	Racism.	US
149	Powerful thighs.	US
150	Men.	US
151	Farting and walking away.	US
152	Pedophiles.	US
153	German Chancellor Angela Merkel.	US
154	Peeing a little bit.	US
155	Viagra.&reg;	US
156	Ronald Reagan.	US
157	Bisexuality.	US
158	The clitoris.	US
159	Soft, kissy missionary sex.	US
160	Sitting on my face and telling me I'm garbage.	US
161	A balanced breakfast.	US
162	Puberty.	US
163	Poor people.	US
164	Harry Potter erotica.	US
165	Penis breath.	US
166	Agriculture.	US
167	Committing suicide.	US
168	The heart of a child.	US
169	Aaron Burr.	US
170	Republicans.	US
171	Justin Bieber.	US
172	Concealing a boner.	US
173	Not vaccinating my children because I am stupid.	US
174	Judge Judy.	US
175	Sex with animals.	US
176	Men discussing their feelings in an emotionally healthy way.	US
177	Dead birds everywhere.	US
178	All-you-can-eat shrimp for $8.99.	US
179	My bright pink fuckhole.	US
180	Having sex for the first time.	US
181	An endless stream of diarrhea.	US
182	Getting drugs off the street and into my body.	US
183	German dungeon porn.	US
184	Bingeing and purging.	US
185	Kourtney, Kim, Khloe, Kendall, and Kylie.	US
186	Mouth herpes.	US
187	Seeing what happens when you lock people in a room with hungry seagulls.	US
188	72 virgins.	US
189	Not giving a shit about the Third World.	US
190	Getting cummed on.	US
191	Poor life choices.	US
192	Firing a rifle into the air while balls deep in a squealing hog.	US
193	Opposable thumbs.	US
194	Geese.	US
195	Being fat and stupid.	US
196	Fancy Feast.&reg;	US
197	Serfdom.	US
198	Teaching a robot to love.	US
199	A Super Soaker&trade; full of cat pee.	US
200	NBA superstar LeBron James.	US
201	Child abuse.	US
202	Fucking my sister.	US
203	Natural male enhancement.	US
204	Science.	US
205	<i>The Bachelorette</i> season finale.	US
206	The gays.	US
207	Becoming a blueberry.	US
208	Oprah.	US
209	Three dicks at the same time.	US
210	The wonders of the Orient.	US
211	Puppies!	US
212	An unwanted pregnancy.	US
213	Racially-biased SAT questions.	US
214	The Holy Bible.	US
215	Women of color.	US
216	However much weed $20 can buy.	US
217	Doing crimes.	US
218	A whole thing of butter.	US
219	Having anuses for eyes.	US
220	Silence.	US
221	Lumberjack fantasies.	US
222	My balls on your face.	US
223	Dead parents.	US
224	Barack Obama.	US
225	A snapping turtle biting the tip of your penis.	US
226	A salad for men that's made of metal.	US
227	African children.	US
228	Fading away into nothingness.	US
229	Illegal immigrants.	US
230	Spaghetti? Again?	US
231	The Amish.	US
232	Wizard music.	US
233	The miracle of childbirth.	US
234	Eating a hard boiled egg out of my husband's asshole.	US
235	Selling crack to children.	US
236	Menstrual rage.	US
237	Still being a virgin.	US
238	Mike Pence.	US
239	Shiny objects.	US
240	Giving birth to the Antichrist.	US
241	The entire Mormon Tabernacle Choir.	US
242	The placenta.	US
243	Count Chocula.	US
244	Bees?	US
245	Drinking alone.	US
246	Telling a shitty story that goes nowhere.	US
247	Sunshine and rainbows.	US
248	A little boy who won't shut the fuck up about dinosaurs.	US
249	Finger painting.	US
250	Hobos.	US
251	Natural selection.	US
252	An erection that lasts longer than four hours.	US
253	Bubble butt bottom boys.	US
254	My soul.	US
255	A middle-aged man on roller skates.	US
256	Being a dick to children.	US
257	Mutually assured destruction.	US
258	Eating the last known bison.	US
259	A mopey zoo lion.	US
260	The cool, refreshing taste of Pepsi.&reg;	US
261	Extremely tight pants.	US
262	Queefing.	US
263	A live studio audience.	US
264	An oversized lollipop.	US
265	Nicolas Cage.	US
266	The Rapture.	US
267	Daddy issues.	US
268	Chunks of dead hitchhiker.	US
269	Accepting the way things are.	US
270	The Big Bang.	US
271	Women's suffrage.	US
272	Inappropriate yodeling.	US
273	An older woman who knows her way around the penis.	US
274	Raptor attacks.	US
275	Sex with Patrick Stewart.	US
276	The Patriarchy.	US
277	Free samples.	US
278	My ex-wife.	US
279	The Pope.	US
280	Covering myself with Parmesan cheese and chili flakes because I am pizza.	US
281	White people.	US
282	The unstoppable tide of Islam.	US
283	Unfathomable stupidity.	US
284	A bird that shits human turds.	US
285	Your weird brother.	US
286	Jobs.	US
287	Former President George W. Bush.	US
288	Estrogen.	US
289	Donald J. Trump.	US
290	An AR-15 assault rifle.	US
291	Casually suggesting a threesome.	US
292	David Bowie flying in on a tiger made of lightning.	US
293	Memes.	US
294	A salty surprise.	US
295	Balls.	US
296	The Devil himself.	US
297	Fucking the weatherman on live television.	US
298	The female orgasm.	US
299	Necrophilia.	US
300	The magic of live theatre.	US
301	Some punk kid who stole my turkey sandwich.	US
302	Vomiting seafood and bleeding anally.	US
303	Pulling out.	US
304	Spectacular abs.	US
305	Full frontal nudity.	US
306	A tiny, gay guitar called a ukulele.	US
307	Mansplaining.	US
308	Poorly-timed Holocaust jokes.	US
309	Sweet, sweet vengeance.	US
310	How amazing it is to be on mushrooms.	US
311	Lance Armstrong's missing testicle.	US
312	Hope.	US
313	The screams... the terrible screams.	US
314	Gandhi.	US
315	Only dating Asian women.	US
316	Switching to Geico.&reg;	US
317	Getting fingered.	US
318	Yeast.	US
319	Emotions.	US
320	Crumbs all over the god damn carpet.	US
321	A brain tumor.	US
322	Wet dreams.	US
323	Dark and mysterious forces beyond our control.	US
324	Shaking a baby until it stops crying.	US
325	Being on fire.	US
326	Huge biceps.	US
327	My vagina.	US
328	Bill Nye the Science Guy.	US
329	My inner demons.	US
330	Pooping in a laptop and closing it.	US
331	Battlefield amputations.	US
332	A fetus.	US
333	Strong female characters.	US
334	Dry heaving.	US
335	Tentacle porn.	US
336	The Jews.	US
337	The South.	US
338	Teenage pregnancy.	US
339	A pangender octopus who roams the cosmos in search of love.	US
340	Saying \"I love you.\"	US
341	Doin' it in the butt.	US
342	Synergistic management solutions.	US
343	50,000 volts straight to the nipples.	US
344	Self-loathing.	US
345	Erectile dysfunction.	US
346	Poopy diapers.	US
347	Friction.	US
348	A sassy black woman.	US
349	Liberals.	US
350	Oompa-Loompas.	US
351	Drinking out of the toilet and eating garbage.	US
352	Fragile masculinity.	US
353	Kissing grandma on the forehead and turning off her life support.	US
354	Rap music.	US
355	GoGurt.&reg;	US
356	The true meaning of Christmas.	US
357	A pyramid of severed heads.	US
358	Getting really high.	US
359	Hot cheese.	US
360	Incest.	US
361	Elderly Japanese men.	US
362	Announcing that I am about to cum.	US
363	Invading Poland.	US
364	RoboCop.	US
365	Flying sex snakes.	US
366	Slaughtering innocent civilians.	US
367	Establishing dominance.	US
368	Some guy.	US
369	Girls.	US
370	Italians.	US
371	Shutting up so I can watch the game.	US
372	Jennifer Lawrence.	US
373	Blowing my boyfriend so hard he shits.	US
374	A Mexican.	US
375	The Underground Railroad.	US
376	Penis envy.	US
377	Repression.	US
378	Cards Against Humanity.	US
379	The Hustle.	US
380	Jerking off into a pool of children's tears.	US
381	Heteronormativity.	US
382	A Bop It.&trade;	US
383	Heartwarming orphans.	US
384	The Great Depression.	US
385	A falcon with a cap on its head.	US
386	AXE Body Spray.	US
387	Prescription pain killers.	US
388	Solving problems with violence.	US
389	Gloryholes.	US
390	A homoerotic volleyball montage.	US
391	This month's mass shooting.	US
392	Radical Islamic terrorism.	US
393	Flightless birds.	US
394	A disappointing birthday party.	US
395	Assless chaps.	US
396	Vehicular manslaughter.	US
397	Permanent Orgasm-Face Disorder.	US
398	Boogers.	US
399	The Blood of Christ.	US
400	Cuddling.	US
401	Looking in the mirror, applying lipstick, and whispering \"tonight, you will have sex with Tom Cruise.\"	US
402	Authentic Mexican cuisine.	US
403	The American Dream.	US
404	Pooping back and forth. Forever.	US
405	The Force.	US
406	The only gay person in a hundred miles.	US
407	Ethnic cleansing.	US
408	Exactly what you'd expect.	US
409	Getting crushed by a vending machine.	US
410	A ball of earwax, semen, and toenail clippings.	US
411	Brown people.	US
412	Steve Bannon.	US
413	Diversity.	US
414	Pixelated bukkake.	US
415	Tearing that ass up like wrapping paper on Christmas morning.	US
416	Sideboob.	US
417	Seeing Grandma naked.	US
418	Women in yogurt commercials.	US
419	Arnold Schwarzenegger.	US
420	The bombing of Nagasaki.	US
421	Chainsaws for hands.	US
422	Getting naked and watching Nickelodeon.	US
423	Fear itself.	US
424	The Trail of Tears.	US
425	Swooping.	US
426	Ghosts.	US
427	My neck, my back, my pussy, and my crack.	US
428	God.	US
429	Nazis.	US
430	MechaHitler.	US
431	My collection of Japanese sex toys.	US
432	One titty hanging out.	US
433	Crippling debt.	US
434	Passive aggressive Post-it notes.	US
435	Whipping it out.	US
436	Academy Award winner Meryl Streep.	US
437	Funky fresh rhymes.	US
438	How bad my daughter fucked up her dance recital.	US
439	Fellowship in Christ.	US
440	The violation of our most basic human rights.	US
441	Coat hanger abortions.	US
442	Morgan Freeman's voice.	US
443	Stalin.	US
444	8 oz. of sweet Mexican black-tar heroin.	US
445	Old-people smell.	US
446	Fake tits.	US
447	Sexual tension.	US
448	The inevitable heat death of the universe.	US
449	A fuck-ton of almonds.	US
450	Muhammad (Peace Be Upon Him).	US
451	A really cool hat.	US
452	An octopus giving seven handjobs and smoking a cigarette.	US
453	These hoes.	US
454	Listening to her problems without trying to solve them.	US
455	The Russians.	US
456	Waking up half-naked in a Denny's parking lot.	US
457	Murder.	US
458	A crucifixion.	US
459	Her Majesty, Queen Elizabeth II.	US
460	Not wearing pants.	US
461	Man meat.	US
462	A gossamer stream of jizz that catches the light as it arcs through the morning air.	US
463	Lena Dunham.	US
464	Many bats.	US
465	Gay conversion therapy.	US
466	Horse meat.	US
467	The glass ceiling.	US
468	Dick pics.	US
469	Completely unwarranted confidence.	US
470	One trillion dollars.	US
471	Some of the best rappers in the game.	US
472	Black people.	US
473	Sperm whales.	US
474	My sex life.	US
475	Chemical weapons.	US
476	A Fleshlight.&reg;	US
477	Pictures of boobs.	US
478	William Shatner.	US
479	AIDS.	US
480	Autocannibalism.	US
481	A horde of Vikings.	US
482	Danny DeVito.	US
483	My abusive boyfriend who really isn't so bad once you get to know him.	US
484	A three-way with my wife and Shaquille O'Neal.	US
485	Fiery poops.	US
486	Lunchables.&trade;	US
487	Meth.	US
488	Soup that is too hot.	US
489	Tap dancing like there's no tomorrow.	US
490	Stephen Hawking talking dirty.	US
491	Object permanence.	US
492	The milkman.	US
493	Braiding three penises into a Twizzler.	US
494	My black ass.	US
495	Kanye West.	US
496	Poverty.	US
497	Judging everyone.	US
498	PTSD.	US
499	Wondering if it's possible to get some of that salsa to go.	US
500	Bitches.	US
501	An icy handjob from an Edmonton hooker.	CA
502	An Evening with Michael Bubl&eacute;.	CA
503	Getting a DUI on a Zamboni.	CA
504	The Royal Canadian Mounted Police.	CA
505	Oestrogen.	CA
506	Heritage minutes.	CA
507	An endless stream of diarrhoea.	CA
508	A hairless little shitstain named Caillou.	CA
509	A despondent Maple Leafs fan sitting all alone.	CA
510	Apologizing.	CA
511	Syrupy sex with a maple tree.	CA
512	An M16 assault rifle.	CA
513	Canadian Netflix.	CA
514	Punching an MP in the face.	CA
515	Burning down the White House.	CA
516	Newfies.	CA
517	A vastly superior healthcare system.	CA
518	Women of colour.	CA
519	Living in Yellowknife.	CA
520	A fuck-tonne of almonds.	CA
521	Clubbing baby seals.	CA
522	The only gay person in a hundred kilometers.	CA
523	The Official Languages Act. La Loi sur les langues officielles.	CA
524	Terry Fox's prosthetic leg.	CA
525	Mr. Dressup.	CA
526	Justin Trudeau.	CA
527	Germans on holiday.	UK
528	Sitting on my face.	UK
529	The Hillsborough Disaster.	UK
530	Queen Elizabeth's immaculate anus.	UK
531	Druids.	UK
532	The way James Bond treats women.	UK
533	Blowing up Parliament.	UK
534	A white van man.	UK
535	Wanking into a pool of children's tears.	UK
536	Benedict Cumberbatch.	UK
537	Shitting out a perfect Cumberland sausage.	UK
538	Shutting up so I can watch the match.	UK
539	Faffing about.	UK
540	Blood, toil, tears, and sweat.	UK
541	Dirty nappies.	UK
542	Catapult.	UK
543	Your mum.	UK
544	Dogging.	UK
545	Concealing an erection.	UK
546	Polish people.	UK
547	Waking up in Idris Elba's arms.	UK
548	A bleached arsehole.	UK
549	Braiding three penises into a Curly Wurly.	UK
550	Kissing nan on the forehead and turning off her life support.	UK
551	However much weed &pound;20 can buy.	UK
552	A Chelsea smile.	UK
553	The EDL.	UK
554	Being marginalised.	UK
555	Ecstasy.	UK
556	England.	UK
557	The Black Death.	UK
558	Jehovah's Witnesses.	UK
559	Egging an MP.	UK
560	The Scouts.	UK
561	The end of days.	UK
562	The North.	UK
563	Maureen of Blackpool, Reader's Wife of the Year 1988.	UK
564	Spaniards.	UK
565	Forced sterilisation.	UK
566	Some bloody peace and quiet.	UK
567	A brain tumour.	UK
568	Pikies.	UK
569	An entrenched class system.	UK
570	Just touching David Beckham's hair.	UK
571	Used knickers.	UK
572	A hen night in Slough.	UK
573	Waking up half-naked in a Little Chef car park.	UK
574	Paedophiles.	UK
575	Haggis.	UK
576	Anything that comes out of Prince Philip's mouth.	UK
577	The bloody Welsh.	UK
578	Mad cow disease.	UK
579	The sudden appearance of the Go Compare man.	UK
580	The smell of Primark.	UK
581	Theresa May.	UK
582	My mate Dave.	UK
583	Cottaging.	UK
584	Not wearing trousers.	UK
585	A nice cup of tea.	UK
586	Jimmy Savile.	UK
587	Drinking out of the toilet and eating rubbish.	UK
588	A posh wank.	UK
589	A foul mouth.	UK
590	Trench foot.	UK
591	An AK-47 assault rifle.	UK
592	A foetus.	UK
593	Cheeky bum sex.	UK
594	The <i>Strictly Come Dancing</i> season finale.	UK
595	Bogies.	UK
596	The Daily Mail.	UK
597	A fanny fart.	UK
598	Tories.	UK
599	Perfunctory foreplay.	UK
600	Slapping Nigel Farage over and over.	UK
601	Madeleine McCann.	UK
602	400 years of colonial atrocities.	UK
603	Queuing.	UK
604	Passive-aggressive Post-it notes.	UK
605	LYNX&reg; Body Spray.	UK
606	9 oz. of sweet Mexican black-tar heroin.	UK
607	Crumbs all over the bloody carpet.	UK
608	Chivalry.	UK
609	Amputees.	UK
610	A bit of slap and tickle.	UK
611	Seeing Granny naked.	UK
612	Sniffing glue.	UK
613	The petty troubles of the landed gentry.	UK
614	Lads.	UK
615	The French.	UK
616	Ed Balls.	UK
617	A vindaloo poo.	UK
618	Scousers.	UK
619	Getting naked and watching CBeebies.	UK
620	Rubbing Boris Johnson's belly until he falls asleep.	UK
621	A sober Irishman who doesn't care for potatoes.	UK
622	Daddies&reg; Brown Sauce.	UK
623	Brexit.	UK
624	Knife crime.	UK
625	Getting married, having a few kids, buying some stuff, retiring to the south of France, and dying.	UK
626	Africa children.	UK
627	Somali pirates.	UK
628	Hooning.	AU
629	Waking up half-naked in a Macca's car park.	AU
630	Half a kilo of pure China White heroin.	AU
631	100% Pure New Zealand.	AU
632	Pauline Hanson.	AU
633	Skippy the Bush Kangaroo.	AU
634	A slab of VB and a pack of durries.	AU
635	Winking at old people.	AU
636	Getting married, having a few kids, buying some stuff, retiring to Queensland, and dying.	AU
637	Fiery poos.	AU
638	Having a Golden Gaytime.	AU
639	Total control of the media.	AU
640	All four prongs of an echidna's penis.	AU
641	The White Australia Policy.	AU
642	Making up for centuries of oppression with one day of apologising.	AU
643	Glassing a wanker.	AU
644	Dropping a baby down the dunny.	AU
645	A sick burnout.	AU
646	Rupert Murdoch.	AU
647	Women in yoghurt commercials.	AU
648	Tony Abbott in budgie smugglers.	AU
649	Contagious face cancer.	AU
650	Mr. Squiggle, the Man from the Moon.	AU
651	Taking a sheep-wife.	AU
652	Crazy hot cousin sex.	AU
653	Getting so angry that you pop a stiffy.	AU
654	Nothing but sand.	AU
655	A cute, fuzzy koala with chlamydia.	AU
656	Profound respect and appreciation for indigenous culture.	AU
657	John Howard's eyebrows.	AU
658	Selling ice to children.	AU
659	A sick wombat.	AU
660	A Halal Snack Pack.	AU
661	Braiding three penises into a licorice twist.	AU
662	The cool, refreshing taste of Coca-Cola.&reg;	AU
663	Getting naked and watching <i>Play School.</i>	AU
664	Women's undies.	AU
665	Nippers.	AU
666	Summoning Harold Holt from the sea in a time of great need.	AU
667	A didgeridildo.	AU
668	A five-litre goon bag.	AU
669	Vegemite.&trade;	AU
670	Good-natured, fun-loving Aussie racism.	AU
671	A fair go.	AU
672	Cashed-up bogans.	AU
673	Inserting a jam jar into my anus.	AU
674	Doin' it up the bum.	AU
675	A stingray barb through the chest.	AU
676	Pingers.	AU
677	The bush.	AU
678	Sorry, this content cannot be viewed in your region.	AU
679	A shark!	AU
680	Americanization.	AU
681	Having a shag in the back of a ute.	AU
682	Australia.	AU
683	Massive, widespread drought.	AU
684	Millions of cane toads.	AU
685	Alcohol poisoning.	AU
686	Xenophobia.	AU
687	Ice.	AU
688	A decent fucking Internet connection.	AU
689	What's left of the Great Barrier Reef.	AU
690	The Hemsworth brothers.	AU
691	A literal tornado of fire.	AU
692	The Great Emu War.	AU
693	Chundering into a kangaroo's pouch.	AU
694	The big fucking hole in the ozone layer.	AU
695	My cheating prick of a husband.	AU
696	Denying climate change.	AU
697	Whiskas&reg; Catmilk.	AU
698	Steve Irwin.	AU
699	Chunks of dead backpacker.	AU
700	The inevitable heath death of the universe.	AU
701	A six-point plan to stop the boats.	AU
702	Whoever the Prime Minister is these days.	AU
703	An ass disaster.	INTL
704	Disco fever.	INTL
705	Words.	INTL
706	Spending lots of money.	INTL
707	Mooing.	INTL
